epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2045.31,0.6292,0.53931,0.42049,0.00218,0.11914,0.98503,0.97267,0.99151,0.87269,0.98503,0.97267,0.99151,0.89778,0.66027,0.50328,0.38045,0.00256,0,0.0007327,0.0007327,0.0007327
29,2127.18,0.61744,0.51373,0.4044,0.00208,0.1308,0.9592,0.93861,0.99232,0.90882,0.9592,0.93861,0.99232,0.89255,0.54031,0.45996,0.3374,0.00204,0,0.0007228,0.0007228,0.0007228
30,2210.8,0.62379,0.48751,0.38251,0.00207,0.1055,0.98704,0.98424,0.98629,0.88716,0.98704,0.98424,0.98629,0.89204,0.53966,0.46838,0.43625,0.00205,0,0.0007129,0.0007129,0.0007129
31,2292.81,0.60402,0.49972,0.39155,0.00199,0.10021,0.98585,0.98139,0.99118,0.89501,0.98585,0.98139,0.99118,0.88158,0.50785,0.53878,0.33717,0.00193,0,0.000703,0.000703,0.000703
32,2375.58,0.5521,0.49079,0.40185,0.00183,0.12188,0.96869,0.98229,0.98491,0.89142,0.96869,0.98229,0.98489,0.89787,0.54619,0.50392,0.36141,0.00217,0,0.0006931,0.0006931,0.0006931
33,2458.09,0.52844,0.41793,0.3433,0.00173,0.08476,0.99124,0.99175,0.99481,0.90863,0.98897,0.98953,0.9929,0.88759,0.43121,0.50132,0.33598,0.00161,0,0.0006832,0.0006832,0.0006832
34,2540.98,0.56857,0.56019,0.39115,0.00183,0.15166,0.9884,0.96406,0.97112,0.88727,0.98615,0.96189,0.96889,0.86938,0.53554,0.55634,0.52024,0.00206,0,0.0006733,0.0006733,0.0006733
35,2623.83,0.53765,0.54302,0.36386,0.00175,0.11698,0.98445,0.98396,0.99327,0.91301,0.98445,0.98396,0.99327,0.88461,0.49831,0.54292,0.34006,0.00195,0,0.0006634,0.0006634,0.0006634
36,2706.82,0.52517,0.51225,0.34088,0.00162,0.09131,0.97391,0.98375,0.99449,0.91521,0.97612,0.98597,0.99321,0.877,0.50686,0.50286,0.351,0.00194,0,0.0006535,0.0006535,0.0006535
37,2789.81,0.53242,0.47037,0.35908,0.00177,0.1035,0.99105,0.98487,0.99478,0.91066,0.99105,0.98487,0.99478,0.8969,0.52241,0.5082,0.31933,0.0021,0,0.0006436,0.0006436,0.0006436
38,2873.46,0.51957,0.53154,0.36968,0.00163,0.10534,0.9845,0.97457,0.99191,0.90628,0.9845,0.97457,0.99191,0.9013,0.48803,0.51339,0.36449,0.00186,0,0.0006337,0.0006337,0.0006337
39,2956.84,0.49974,0.50152,0.41344,0.00156,0.10752,0.97703,0.99112,0.99097,0.91263,0.97703,0.99112,0.99097,0.88589,0.47737,0.53729,0.28551,0.00178,0,0.0006238,0.0006238,0.0006238
40,3040.24,0.53647,0.57579,0.34408,0.00166,0.13211,0.97643,0.98392,0.99079,0.90888,0.97643,0.98392,0.99079,0.89129,0.50333,0.53546,0.38461,0.00186,0,0.0006139,0.0006139,0.0006139
41,3123.99,0.51417,0.52726,0.35105,0.00161,0.12831,0.98683,0.96638,0.98836,0.90401,0.98683,0.96638,0.98815,0.89037,0.47754,0.55258,0.40745,0.00181,0,0.000604,0.000604,0.000604
42,3206.92,0.50647,0.53662,0.35738,0.00161,0.09422,0.98369,0.9879,0.99438,0.91236,0.98369,0.9879,0.99438,0.9002,0.47397,0.4818,0.31326,0.00184,0,0.0005941,0.0005941,0.0005941
43,3291.4,0.51916,0.48486,0.32112,0.00176,0.10815,0.97835,0.99121,0.9941,0.91823,0.97835,0.99121,0.9941,0.89248,0.42505,0.47417,0.29827,0.00157,0,0.0005842,0.0005842,0.0005842
44,3374.22,0.51189,0.47131,0.36637,0.00167,0.14233,0.97203,0.95909,0.99425,0.92135,0.97203,0.95909,0.99425,0.89532,0.49803,0.47628,0.33746,0.00191,0,0.0005743,0.0005743,0.0005743
45,3450.79,0.45948,0.49722,0.30636,0.00146,0.11143,0.98274,0.98801,0.9917,0.91835,0.98274,0.98801,0.9917,0.90638,0.45787,0.48899,0.33981,0.00173,0,0.0005644,0.0005644,0.0005644
46,3524.12,0.4446,0.49382,0.30612,0.00141,0.08012,0.98511,0.97606,0.99491,0.92906,0.98511,0.97606,0.99491,0.90743,0.48745,0.46379,0.26894,0.00179,0,0.0005545,0.0005545,0.0005545
