epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,343.082,0.38746,0.58052,0.74748,0.80325,0,0.99391,0.98464,0.99436,0.93584,0.99391,0.98464,0.99436,0.88657,0.33784,0.47333,0.69012,0.80191,0,0.0004654,0.0004654,0.0004654
29,355.618,0.39479,0.58904,0.69388,0.80684,0,0.99591,0.99081,0.9946,0.93899,0.99591,0.99081,0.9946,0.87687,0.33269,0.50234,0.68808,0.80259,0,0.0004456,0.0004456,0.0004456
30,368.31,0.39045,0.59346,0.69426,0.80132,0,0.9825,0.99668,0.99463,0.93038,0.9825,0.99668,0.99463,0.88869,0.34056,0.47264,0.68591,0.80192,0,0.0004258,0.0004258,0.0004258
31,380.668,0.37328,0.6092,0.67452,0.80168,0,0.98787,0.99018,0.99483,0.93991,0.98787,0.99018,0.99483,0.89034,0.32479,0.45236,0.67482,0.80034,0,0.000406,0.000406,0.000406
32,393.115,0.3703,0.59181,0.69266,0.79737,0,0.99069,0.99223,0.99491,0.92756,0.99069,0.99223,0.99491,0.89233,0.32737,0.45313,0.64803,0.80032,0,0.0003862,0.0003862,0.0003862
33,405.568,0.35794,0.55974,0.69428,0.79753,0,0.9959,0.99537,0.99489,0.9342,0.9959,0.99537,0.99489,0.88785,0.33049,0.43334,0.63512,0.80152,0,0.0003664,0.0003664,0.0003664
34,418.489,0.36236,0.54433,0.63728,0.80231,0,0.99046,0.99039,0.99485,0.93602,0.99046,0.99039,0.99485,0.89211,0.31967,0.4384,0.62766,0.80128,0,0.0003466,0.0003466,0.0003466
35,431.965,0.37184,0.5313,0.64716,0.79485,0,0.98658,0.99428,0.99496,0.93093,0.98658,0.99428,0.99496,0.8952,0.32143,0.4251,0.62291,0.80034,0,0.0003268,0.0003268,0.0003268
36,444.972,0.37822,0.61582,0.62609,0.80468,0,0.99248,0.99473,0.995,0.93499,0.99248,0.99473,0.995,0.89151,0.32677,0.43145,0.61273,0.80197,0,0.000307,0.000307,0.000307
37,458.164,0.37911,0.58568,0.63187,0.80481,0,0.99647,0.99668,0.995,0.94404,0.99647,0.99668,0.995,0.89733,0.30472,0.4398,0.60483,0.7989,0,0.0002872,0.0002872,0.0002872
38,471.439,0.36759,0.5567,0.66131,0.80011,0,0.98941,0.98506,0.995,0.94451,0.98941,0.98506,0.995,0.89246,0.31784,0.44191,0.60763,0.79986,0,0.0002674,0.0002674,0.0002674
39,484.108,0.35373,0.53853,0.57704,0.79842,0,0.99245,0.99314,0.99491,0.94469,0.99245,0.99314,0.99491,0.88786,0.3024,0.44448,0.58263,0.80014,0,0.0002476,0.0002476,0.0002476
40,497.006,0.35622,0.56863,0.58983,0.80335,0,0.98899,0.99565,0.99489,0.94445,0.98899,0.99565,0.99489,0.89125,0.30475,0.43115,0.58168,0.79967,0,0.0002278,0.0002278,0.0002278
41,532.505,0.31891,0.50448,0.59355,0.7858,0,0.98387,0.9962,0.99489,0.94539,0.98387,0.9962,0.99489,0.89426,0.29274,0.42063,0.57184,0.79634,0,0.000208,0.000208,0.000208
42,544.479,0.30837,0.49177,0.58704,0.78686,0,0.99337,0.99498,0.99496,0.92804,0.99337,0.99498,0.99496,0.90488,0.30759,0.41566,0.57135,0.79623,0,0.0001882,0.0001882,0.0001882
43,556.69,0.32992,0.5062,0.57858,0.80638,0,0.99489,0.99852,0.995,0.93936,0.99489,0.99852,0.995,0.90389,0.29143,0.414,0.56749,0.79538,0,0.0001684,0.0001684,0.0001684
44,568.822,0.32629,0.54243,0.58869,0.78962,0,0.99284,0.9929,0.99494,0.94882,0.99284,0.9929,0.99494,0.9012,0.28472,0.41083,0.56069,0.79482,0,0.0001486,0.0001486,0.0001486
45,581.125,0.32547,0.50974,0.57871,0.79663,0,0.99444,0.99108,0.99491,0.94452,0.99444,0.99108,0.99491,0.89505,0.29266,0.42204,0.55249,0.79522,0,0.0001288,0.0001288,0.0001288
46,594.052,0.31091,0.5053,0.56271,0.7883,0,0.99482,0.98841,0.99491,0.95293,0.99482,0.98841,0.99491,0.89484,0.27459,0.41485,0.53364,0.79402,0,0.000109,0.000109,0.000109
47,606.429,0.31606,0.48693,0.5498,0.79295,0,0.99369,0.99395,0.99491,0.94749,0.99369,0.99395,0.99491,0.90116,0.27859,0.40682,0.52712,0.79366,0,8.92e-05,8.92e-05,8.92e-05
48,618.882,0.32341,0.52331,0.53597,0.79932,0,0.99156,0.99778,0.99489,0.94909,0.99156,0.99778,0.99489,0.89838,0.28841,0.41098,0.53425,0.79467,0,6.94e-05,6.94e-05,6.94e-05
49,631.955,0.30972,0.49241,0.56768,0.78586,0,0.99358,0.99778,0.99493,0.95445,0.99358,0.99778,0.99493,0.8967,0.28013,0.41082,0.52857,0.79403,0,4.96e-05,4.96e-05,4.96e-05
50,644.452,0.30001,0.5585,0.54087,0.78752,0,0.99501,0.99685,0.99498,0.95488,0.99501,0.99685,0.99498,0.89429,0.27405,0.41176,0.52351,0.79319,0,2.98e-05,2.98e-05,2.98e-05
